id,a,b,c,d,e,f,g,h,i,j,k,l,m,n
11392,20,2,323055,1,10,0,5,0,2,0,1,1,31,0
11110,41,2,45688,5,11,2,4,0,1,0,4788,1,51,0
13896,56,2,182461,1,10,1,6,1,0,0,15025,1,36,0
1132,32,2,316673,1,10,0,4,4,0,1,1,1,41,4
26192,36,2,194592,5,11,1,10,1,0,0,1,1,41,0
3587,45,2,429833,5,11,1,1,1,0,0,1,1,41,0
7117,48,2,284917,1,10,1,5,1,0,0,7299,1,46,0
1772,52,2,120174,7,12,1,6,1,0,0,3104,1,51,0
13126,38,0,122494,1,10,1,11,1,0,0,1,1,56,0
14659,32,2,178665,5,11,2,4,0,0,1,1,1,31,0
22592,49,5,382243,9,17,1,1,2,0,1,1,1,41,0
11029,33,2,157748,5,11,1,10,1,0,0,1,1,46,0
8676,37,1,52871,0,14,1,1,1,0,0,4387,1,51,0
9045,29,3,56652,0,14,0,3,3,1,1,1,1,41,0
12177,48,2,133759,1,10,2,1,0,0,1,1,1975,41,0
11057,34,2,150155,5,11,1,6,1,0,0,1,1,41,0
106,42,4,201521,1,10,1,11,1,0,0,1,1,41,0
31809,55,3,75236,1,10,1,1,1,0,0,5179,1,41,0
28494,42,2,172829,4,6,1,4,1,0,0,1,1,56,31
26482,55,2,139348,1,10,6,0,4,0,1,1,1,41,0
14544,38,2,160917,8,5,1,3,2,0,1,1,1,41,0
27249,29,2,51962,5,11,0,10,3,1,0,1,1,25,0
4485,28,2,219372,1,10,3,0,4,0,1,1,1,41,2
29193,42,1,287038,1,10,1,3,1,0,0,1,1,41,0
4215,53,2,214092,1,10,6,4,0,3,1,1,1,41,0
1584,49,1,65536,1,10,1,8,1,0,0,1,1,51,0
30743,22,2,187089,5,11,0,0,3,4,1,1,1,21,1
4136,45,2,76197,0,14,1,1,1,0,0,1,1,51,0
15756,63,0,254891,1,10,1,0,1,0,0,1,1,41,0
3414,53,1,194792,5,11,1,6,1,0,0,1,1,41,0
729,25,2,236697,0,14,0,10,0,0,0,1,1,51,20
9882,25,2,197555,1,10,0,0,3,0,1,1,1,41,0
6445,32,2,207101,0,14,0,1,3,1,1,1,1,41,0
11446,30,2,78262,1,10,4,11,0,0,0,1,1,56,0
1671,44,2,83757,5,11,0,1,4,0,0,1,1,51,0
21310,22,2,273404,7,12,0,4,0,0,1,1,1,51,0
11629,32,2,129805,4,6,0,8,0,0,0,1,1,41,6
2103,61,2,113081,1,10,1,1,1,0,0,1,1,51,0
5807,27,1,195637,12,7,0,1,0,0,0,1,1,76,0
7539,25,2,200820,15,9,0,5,0,0,0,1,1,41,0
5592,33,1,46747,5,11,1,8,1,0,0,1,1,66,0
15536,22,2,129675,5,11,0,1,0,1,0,1,1,49,4
11401,19,2,228593,1,10,0,7,3,0,0,1,1,19,0
30710,36,2,187168,1,10,2,4,0,0,1,1,1,36,0
10614,40,4,189912,2,8,2,0,4,0,1,1,1,41,0
10335,44,2,125834,0,14,1,0,1,2,0,1,1,41,36
7641,33,2,152157,1,10,4,6,0,0,0,1,1,54,0
13313,30,2,253857,0,14,1,7,1,0,0,1,1,21,0
31901,34,2,199047,0,14,0,5,0,0,1,1,1,41,0
14236,40,5,34181,7,12,1,8,1,0,0,1,1,61,0
23883,30,2,535979,5,11,1,6,1,0,0,1,1,46,0
13213,38,2,341673,0,14,4,10,0,2,0,1,1,41,12
12877,26,2,315131,0,14,0,10,0,0,1,1,1,11,0
8742,34,2,154951,0,14,1,3,1,0,0,1,1,51,0
9901,30,2,29733,0,14,1,3,2,0,1,1,1,25,0
14160,41,2,213850,1,10,2,5,0,0,1,1,1,41,0
28291,26,2,193380,6,13,0,6,0,0,0,1,1,46,0
1857,19,2,152546,1,10,0,4,3,0,1,1,1,9,0
10295,18,2,228400,2,8,0,4,3,0,1,1,1,8,0
7143,43,5,277257,9,17,1,3,1,0,0,1,1978,61,0
13685,46,2,171541,1,10,1,6,1,0,0,1,1,41,0
12117,24,2,271355,1,10,1,7,1,0,0,1,1903,51,0
5855,58,0,388226,5,11,1,3,1,0,0,1,1,41,0
4115,35,2,275439,5,11,1,3,1,0,0,5179,1,41,0
14306,29,2,108575,5,11,1,0,2,0,1,1,1,16,0
28463,91,3,195434,1,10,1,6,1,0,0,1,1,31,0
25655,40,2,114592,5,11,4,3,4,0,1,1,1,41,0
15135,48,2,341763,1,10,1,9,1,0,0,1,1,41,0
3874,23,2,322675,5,11,0,1,3,0,0,1,1,41,0
11975,28,2,144809,5,11,0,0,3,1,1,1,1,41,0
12827,27,2,152036,1,10,0,1,0,0,1,1,1,41,0
6374,37,2,416746,2,8,1,9,1,0,0,1,1,41,0
6672,49,2,168463,1,10,1,7,1,0,0,1,1,41,0
16100,48,0,263216,0,14,1,0,1,0,0,1,1,81,0
26286,51,2,338034,5,11,0,4,0,0,0,1,1,33,0
1415,44,2,221551,0,14,4,0,4,0,1,1,1,36,0
30341,51,0,201514,1,10,2,0,3,0,1,1,1,41,0
13686,56,4,61709,0,14,1,1,1,0,0,1,1,41,0
10754,40,0,126895,9,17,0,3,0,1,1,1,1,31,0
28465,33,2,311525,1,10,0,6,3,1,0,1,1,39,0
32160,24,2,122273,5,11,0,0,3,0,1,1,1,21,0
32180,20,2,128364,5,11,0,5,3,0,1,1,1,31,0
14846,20,2,234477,5,11,0,5,3,0,1,1,1,8,0
21472,34,2,223213,1,10,2,6,4,0,0,1,1,41,0
18636,30,2,77573,6,13,0,0,0,2,1,1,1,41,0
29490,30,2,239754,1,10,1,0,2,0,1,1,2058,21,0
11303,32,2,117817,8,5,2,2,5,0,0,1,1,71,0
26973,52,2,162746,1,10,1,6,1,0,0,7299,1,51,0
5771,47,2,137355,3,15,1,10,1,2,0,1,1,41,12
23254,26,2,216725,1,10,2,1,3,0,0,1,1,41,0
7221,23,2,64293,1,10,0,10,0,0,1,1,1,41,0
24932,30,2,196244,1,10,0,9,0,0,1,1,1,41,0
31039,18,2,160050,12,7,0,4,3,0,1,1,1,13,0
2990,31,2,213003,5,11,1,10,1,1,0,1,1,15,0
7711,43,1,93100,5,11,1,3,3,0,1,1,1,26,0
27502,18,2,277584,2,8,0,2,3,0,0,1,1,16,0
12381,26,2,266601,1,10,1,0,1,1,0,3138,1,41,0
13482,34,2,178684,5,11,1,9,1,0,0,5014,1,41,0
27301,36,2,257417,7,12,0,6,3,1,0,1,1,41,0
15797,71,2,146629,1,10,1,7,1,0,0,3472,1,34,0
24637,24,2,481176,5,11,0,1,3,4,0,1,1,25,30
7178,23,2,335454,1,10,0,0,0,0,1,1,1,61,0
23568,42,2,40152,5,11,2,6,0,0,0,1,1,41,0
24129,29,2,165031,5,11,0,1,0,0,1,1,1,51,0
25844,30,2,367330,1,10,1,9,1,0,0,1,1,41,0
4564,42,2,209900,1,10,4,0,4,1,1,1,1,41,0
7363,57,2,179626,12,7,4,4,4,0,1,1,1,33,0
14907,46,3,78023,0,14,1,3,1,0,0,1,1,41,0
18812,47,5,110458,3,15,1,1,1,0,0,1,1,56,0
11637,52,2,63686,1,10,1,5,1,2,0,1,1,51,16
519,65,0,107733,13,3,1,8,1,4,0,1,1,46,15
22552,22,2,305447,5,11,0,1,0,0,0,1,1,41,0
10422,60,3,200701,6,13,1,8,1,1,0,1,1,41,0
180,35,2,198614,3,15,0,1,3,0,0,4651,1,41,0
24940,54,1,135340,0,14,1,1,1,2,0,7689,1,21,27
30296,23,2,48989,5,11,0,7,0,0,0,1,1,41,0
19881,20,2,162955,15,9,0,4,3,0,1,1,1,21,0
22181,28,2,221437,0,14,1,0,2,0,1,1,1,41,1
20336,25,2,187938,0,14,0,3,4,0,1,1,1,41,0
5879,61,2,290923,1,10,2,1,0,0,1,1,1,28,0
5205,31,2,158421,0,14,0,3,0,0,0,1,1,51,11
19302,44,5,34219,5,11,1,1,1,0,0,1,1,41,0
30966,58,2,301515,1,10,1,5,1,0,0,1,1,41,0
17076,38,2,223434,1,10,1,5,1,0,0,1,1,41,0
19436,36,2,103987,7,12,1,10,1,0,0,1,1,41,0
9634,52,2,251488,8,5,6,9,0,3,1,1,1,41,0
14563,40,2,101074,6,13,1,5,1,0,0,1,1,25,0
12130,29,2,352452,8,5,4,9,4,1,1,1,1,41,0
25194,29,2,233276,0,14,0,3,0,0,0,1,1,46,0
15291,39,2,154211,0,14,1,3,1,2,0,1,1,41,0
7890,34,2,269606,1,10,0,1,0,0,0,1,1,33,0
3524,22,2,197388,1,10,0,2,3,0,0,1,1,21,0
18495,49,5,250675,7,12,1,6,1,0,0,1,1,61,0
29821,33,2,42618,5,11,2,3,0,0,1,1,1,31,0
13618,34,2,333702,7,12,0,4,4,1,0,1,1,41,0
22302,43,2,227467,1,10,0,4,5,1,0,1,1,41,0
5025,58,5,282914,1,10,1,5,1,0,0,1,1,41,1
9248,50,2,393716,0,14,1,1,1,0,0,15025,1,51,0
18742,47,2,171200,0,14,2,9,4,4,1,1,1,41,6
26087,33,2,167991,1,10,1,1,1,0,0,1,1,41,38
8488,28,2,62738,7,12,1,10,1,0,0,1,1,41,0
23075,48,2,39531,1,10,2,4,0,0,1,1,1,5,0
13256,56,2,160304,1,10,6,0,5,0,1,1,1,41,0
17581,50,1,162857,5,11,2,1,0,3,1,1,1,41,0
6929,20,2,162955,5,11,5,2,2,0,1,1,1,41,0
22486,66,2,36210,12,7,1,2,1,0,0,1,1,23,0
23485,38,2,243410,1,10,1,7,1,0,0,1,1,51,0
20512,45,2,151090,0,14,1,3,1,0,0,1,1903,51,0
13921,71,5,225781,5,11,1,1,1,0,0,1,1,21,0
4820,25,2,341295,1,10,1,9,1,0,0,1,1,41,0
762,35,4,119412,1,10,2,11,4,0,0,1,1,41,22
21688,23,1,108507,7,12,0,8,0,3,0,1,1,76,0
9111,37,2,201520,5,11,2,4,0,0,1,1,1,41,0
18012,43,2,115512,9,17,1,3,1,0,0,1,1,51,0
6331,40,2,207186,5,11,1,1,2,0,1,1,1,36,6
501,63,4,114061,1,10,1,7,1,0,0,1,1,41,0
2692,22,2,249151,1,10,0,5,3,0,1,1,1,25,0
3589,32,4,50443,5,11,0,1,3,3,1,1,1,33,0
15068,31,4,181373,0,14,1,3,2,0,1,1,1,34,0
7104,44,2,243581,0,14,1,3,1,0,0,1,1,41,0
9654,33,2,360762,1,10,1,7,1,0,0,1,1,61,0
30974,67,2,78856,1,10,0,0,0,2,1,1,1,41,0
28706,43,1,79532,5,11,1,1,1,0,0,1,1,56,0
12051,55,4,188589,11,4,0,9,0,0,0,1,2002,36,0
23841,38,2,126955,0,14,1,1,1,0,0,1,1,51,0
1121,32,4,378427,10,16,1,3,1,0,0,1,1,100,15
10396,61,0,97031,0,14,2,1,0,0,1,1,1,36,0
12091,21,2,216564,5,11,0,4,3,0,1,1,1,21,0
23057,46,2,177544,1,10,2,0,4,0,1,1,1,29,0
22916,60,2,169134,1,10,1,6,1,0,0,1,1,46,0
24034,43,2,36272,0,14,1,5,1,0,0,1,1,41,0
13099,48,2,109090,5,11,1,3,1,0,0,1,1,71,0
24605,50,2,126755,0,14,0,1,0,0,0,1,1,46,0
25950,54,2,53813,5,11,6,1,0,0,1,1,1,55,0
20338,54,4,188773,1,10,6,4,0,0,1,1,1,31,0
15101,52,1,276457,6,13,1,5,1,0,0,3104,1,31,0
18894,27,2,130932,1,10,0,0,3,1,1,1,1,41,0
12828,55,2,133051,5,11,0,5,0,1,0,1,1,42,0
10961,22,2,51048,1,10,0,0,0,0,1,1,1,26,0
13189,28,4,286353,0,14,0,3,0,0,1,1,1,36,0
6379,29,2,360225,1,10,1,7,1,0,0,1,1,51,0
14404,36,2,164527,5,11,1,6,1,0,0,1,1,41,0
9945,61,2,200048,3,15,1,0,1,0,0,1,1,41,0
5770,21,2,126569,1,10,0,6,0,0,0,1,1,41,0
6002,52,2,44001,3,15,1,3,2,0,1,100000,1,51,0
26843,48,2,239866,1,10,1,6,1,0,0,1,1978,46,0
23394,18,2,166243,12,7,0,4,3,0,1,1,1,16,0
1323,56,2,121913,5,11,1,7,1,0,0,1,1,25,0
30756,28,2,103525,1,10,4,2,4,0,0,1,1,41,0
3084,55,2,175340,1,10,1,5,1,0,0,1,1,51,0
12531,65,2,212514,0,14,2,0,0,0,1,1,1,41,0
31136,41,4,333531,3,15,1,3,2,0,1,1,1,41,0
24668,37,4,331903,5,11,2,0,4,0,1,1,1,36,0
1181,45,2,222012,3,15,2,3,4,0,1,1,1,26,0
15357,28,2,209642,5,11,0,3,0,0,0,1,1,41,0
5478,52,2,254212,0,14,1,6,1,0,0,1,1,21,0
18325,29,2,179950,1,10,2,7,4,1,1,1,1,21,0
122,20,2,248731,5,11,0,11,3,0,0,1,1,31,0
13265,32,2,324387,2,8,1,6,1,0,0,1,1,41,0
7573,43,2,104974,1,10,1,6,1,0,0,1,1,41,0
346,40,2,198655,1,10,2,1,4,1,1,100000,1,41,0
22876,59,2,136952,0,14,1,0,1,2,0,1,1,41,12
16118,28,0,271244,5,11,2,0,4,1,0,1,1,41,2
26478,60,1,75805,1,10,1,8,1,0,0,1,1,66,0
5183,73,2,171182,1,10,6,0,4,0,1,2330,1,21,0
19802,29,2,263129,5,11,0,0,0,0,1,1,1,61,0
2959,49,5,26146,12,7,1,8,1,0,0,1,1,81,0
23795,32,2,139001,1,10,2,5,4,0,1,1,1,26,0
30546,48,2,45565,5,11,1,1,1,0,0,1,1,41,0
20703,37,2,183740,1,10,1,6,3,0,1,1,2003,41,0
5673,36,2,112272,3,15,1,0,1,0,0,1,1,41,0
859,50,2,38564,0,14,0,1,0,0,1,1,1,57,0
18219,31,2,271711,0,14,1,5,1,0,0,7299,1,51,0
25632,47,2,186173,0,14,1,3,1,0,0,3104,1,41,0
8333,31,2,208044,0,14,1,5,1,0,0,1,1,56,0
25965,29,2,274965,1,10,1,6,1,0,0,1,1,39,0
5721,41,2,76626,1,10,2,6,4,0,0,1,1,41,0
21342,29,2,51462,3,15,1,3,1,0,0,1,1,61,0
8922,39,4,338612,5,11,0,0,3,0,1,1,1,41,0
18191,58,2,172292,1,10,2,0,5,1,1,1,1,41,0
4536,31,4,364311,0,14,0,3,0,1,1,1,1,41,10
5361,20,2,192774,1,10,0,4,3,0,1,1,1,25,0
20559,25,2,220324,5,11,1,3,1,1,0,1,1,41,0
13233,58,2,206207,2,8,1,6,1,0,0,1,1,41,0
13096,18,2,208968,2,8,0,5,3,0,1,1,1,25,0
2864,30,2,277789,5,11,1,5,2,0,1,1,1,26,0
6886,57,2,53367,8,5,2,7,4,0,0,1,1,41,0
1013,38,2,385331,8,5,4,4,4,1,0,1,1,41,0
12033,41,2,213020,1,10,2,5,4,0,1,1,1,31,0
22557,56,1,95150,5,11,1,7,1,0,0,1,1,100,0
11945,26,2,124112,1,10,0,4,0,0,1,1,1,39,0
18737,23,2,110685,1,10,0,0,3,0,0,1,1,21,0
1954,67,2,263638,12,7,1,11,1,0,0,1,1,41,0
9457,32,2,271934,5,11,1,9,2,0,1,1,1,41,0
5312,29,2,144064,1,10,1,1,1,0,0,1,1,41,0
29444,29,2,31802,1,10,0,2,5,0,0,1,1,61,0
13640,21,0,231932,5,11,0,3,3,0,0,1,1,41,0
29785,29,2,227841,1,10,0,7,0,0,1,1,1,41,0
21551,42,3,153133,0,14,1,3,1,0,0,1,1,39,0
13570,23,2,105687,1,10,0,2,4,0,0,1,1,41,0
24556,42,2,149103,0,14,1,1,1,0,0,1,1,61,0
13257,50,2,50475,1,10,1,1,1,0,0,1,1,41,0
15252,22,2,220455,1,10,0,9,3,0,0,1,1,41,0
17432,33,2,137077,5,11,1,5,1,0,0,1,1,41,0
21423,27,2,291969,0,14,0,3,0,0,0,1,1,41,0
13759,32,2,70569,13,3,0,4,5,0,1,1,1,26,24
6666,24,0,120173,1,10,0,10,0,0,0,1,1,49,0
757,54,2,170702,0,14,2,0,4,0,1,1,1,41,0
14555,20,1,342385,2,8,1,6,3,0,0,1,2130,56,0
15889,44,3,155107,0,14,1,2,1,0,0,1,1,54,0
9644,19,2,238402,5,11,0,5,3,0,1,1,1,26,0
18741,32,2,61309,12,7,0,4,0,0,0,1,1,41,0
11566,65,1,167150,8,5,1,4,1,0,0,1,1,26,0
11245,54,5,96063,0,14,1,1,1,0,0,1,1903,49,0
2068,38,2,86151,0,14,1,4,2,2,1,1,1,31,0
18513,34,2,280112,2,8,0,0,4,1,1,1,1,39,0
22800,33,2,90970,7,12,1,7,1,0,0,1,1,46,0
1233,44,4,70056,7,12,1,11,1,0,0,1,1,57,0
2002,67,1,293115,1,10,1,8,1,0,0,1410,1,41,0
6612,20,2,195986,1,10,0,4,0,0,1,1,1,51,0
25731,74,1,241122,8,5,1,8,1,0,0,1,1,41,0
16631,28,2,112755,0,14,1,1,1,0,0,1,1486,61,0
29280,50,2,151585,5,11,1,4,1,0,0,1,1,33,0
3733,78,0,267800,9,17,3,3,0,0,0,1,1,5,0
10230,66,2,138248,5,11,6,5,0,0,1,1,1,23,0
8998,54,2,548362,1,10,1,6,1,0,0,1,1,41,0
3671,76,1,184336,2,8,1,1,1,0,0,1,1,31,0
12701,48,2,131161,0,14,2,4,0,0,1,100000,1,41,0
23090,47,3,268282,6,13,2,0,4,0,1,1,1,41,0
5749,48,1,114223,6,13,1,1,1,0,0,1,1,26,0
18782,37,2,185326,1,10,0,4,3,0,0,1,1,38,0
7255,36,0,98777,1,10,0,10,3,0,0,1,1,41,0
4186,26,2,259689,2,8,1,6,1,0,0,1,1,51,0
24646,36,2,144609,1,10,1,9,1,0,0,1,1,41,0
9947,25,2,199695,6,13,0,2,3,0,0,1,1,31,0
2657,32,2,163517,5,11,6,0,4,0,1,1,1,41,0
6222,55,1,163816,3,15,2,5,0,0,0,1,1,61,0
9933,55,4,116429,12,7,1,1,1,0,0,1,1,41,0
15483,19,2,201614,2,8,0,5,3,0,1,1,1,6,0
7602,27,2,188704,3,15,0,3,0,0,1,1,1,41,0
19237,30,2,253263,5,11,0,6,0,0,1,1,1,41,0
2297,35,2,209769,0,14,1,1,1,0,0,15025,1,61,0
2627,35,2,314376,7,12,2,6,0,0,0,1,1,41,0
6498,61,4,227233,1,10,6,1,4,0,1,1,1,41,0
22640,38,2,340615,3,15,1,3,1,0,0,1,1,51,0
11490,28,2,218185,5,11,0,0,0,1,1,1,1,41,2
4047,51,2,163709,1,10,6,4,4,0,1,1,1,41,0
31948,26,2,130514,6,13,0,5,3,0,1,1,1,41,30
176,22,2,312957,1,10,0,6,3,1,0,1,1,41,0
12992,44,2,318416,5,11,2,9,4,1,1,1,1,41,0
20134,40,2,173477,10,16,1,6,1,0,0,7689,1,41,0
14096,62,4,149982,1,10,6,0,0,0,1,1,1,41,0
2776,54,2,816751,0,14,1,3,1,0,0,1,1,73,0
7271,29,2,132687,5,11,1,1,1,0,0,1,1,41,0
15123,39,2,220695,5,11,1,1,1,0,0,1,1,81,0
10687,51,2,156878,1,10,1,0,1,0,0,1,1,36,0
13638,40,2,498786,1,10,2,0,0,0,0,1,1,41,0
11415,48,2,135247,2,8,0,6,4,0,0,1,1,41,0
10123,48,2,74306,0,14,2,6,0,0,0,1,1,41,0
21449,35,2,162443,1,10,1,0,2,0,1,1,1,21,0
14106,18,2,143332,12,7,0,5,3,0,0,1,1,16,0
11297,53,2,241445,13,3,1,6,1,4,0,1,1,51,6
26168,30,2,152952,1,10,1,6,1,0,0,1,1,41,0
14454,37,2,89041,2,8,1,7,1,0,0,1,1,48,0
25338,57,2,147203,5,11,2,0,0,0,1,1,1,46,10
18387,52,4,110328,0,14,1,1,1,0,0,1,1,41,0
11523,49,2,80431,2,8,0,4,0,0,1,1,1,31,0
958,34,1,123425,0,14,1,1,1,0,0,1,1,41,0
17530,39,2,220784,1,10,2,4,0,0,1,1,1,21,0
24316,57,2,189976,5,11,1,6,1,0,0,1,1903,61,0
14189,26,2,185837,5,11,0,4,0,0,1,1,1,41,0
28525,48,4,154034,5,11,2,3,0,0,1,1,1877,41,0
11106,47,2,383385,1,10,1,3,1,0,0,1,1,41,0
24297,33,2,170155,6,13,4,1,4,0,1,25237,1,51,0
17866,22,2,147656,1,10,0,4,3,0,1,1,1,36,0
6202,38,2,181706,7,12,1,6,1,0,0,1,1,41,0
26351,32,2,127216,5,11,1,5,1,0,0,1,1,41,0
27936,28,2,306748,0,14,2,2,3,1,0,1,1,41,0
12678,42,2,112764,1,10,2,2,3,0,1,2598,1,41,0
12372,30,2,199117,1,10,1,9,1,0,0,1,1,41,6
21502,46,2,216627,1,10,6,9,4,4,0,1,1,41,15
4516,20,2,184760,1,10,0,0,0,0,1,1,1,27,0
22077,48,2,418962,7,12,2,5,4,1,1,1,1,26,0
6603,41,2,153373,5,11,1,5,1,0,0,1,1,51,0
21188,47,2,28420,10,16,1,3,1,0,0,100000,1,51,0
6528,29,4,194760,5,11,0,5,0,0,0,1,1670,91,0
27005,36,2,144938,1,10,1,6,1,0,0,1,1,43,0
14802,49,2,160221,7,12,1,5,1,0,0,1,1,41,0
24032,31,1,79304,7,12,1,8,1,0,0,1,1,61,0
3152,51,2,134681,1,10,0,4,0,0,0,1,1,41,0
9808,67,2,197415,8,5,3,4,0,0,1,1,1,21,0
1068,56,2,243930,3,15,1,3,1,0,0,1,1,61,0
12798,33,2,281220,7,12,2,5,4,0,1,1,1381,41,0
3623,54,2,175030,1,10,1,1,1,0,0,1,1,51,0
29747,42,1,44007,7,12,2,8,0,0,0,1,1,41,0
11153,30,2,53182,3,15,1,3,1,0,0,1,1,56,0
25787,29,2,251906,10,16,0,3,0,0,0,1,2340,41,9
18242,28,2,91190,1,10,0,0,3,0,0,1,1,41,0
29545,29,2,171134,7,12,0,0,3,0,1,1,1,41,0
24212,38,0,252940,7,12,0,3,4,1,1,5456,1,41,0
13992,32,2,49399,5,11,1,10,1,0,0,1,1,41,0
17361,30,2,157942,0,14,0,10,0,0,0,1,1,41,0
16166,32,2,136722,1,10,2,9,0,0,1,1,1,41,0
31490,21,2,224641,6,13,0,1,3,0,1,1,1,41,0
28305,39,2,241963,1,10,2,9,0,0,0,1,1,41,0
7366,20,2,104831,8,5,0,7,4,0,0,1,1,26,26
11131,23,2,181314,7,12,0,4,0,0,1,1,1,31,0
10657,42,4,235952,10,16,1,3,1,0,0,1,1,51,0
11631,21,2,107659,5,11,0,10,0,0,1,1,1,11,0
12637,63,2,217435,0,14,1,5,1,0,0,1,1,41,0
6778,52,2,180808,5,11,2,1,4,0,1,1,1,41,0
27257,62,2,225971,1,10,1,10,1,0,0,1,1,41,0
23061,46,2,275996,0,14,1,10,1,0,0,1,1,51,0
9725,22,1,190969,1,10,0,8,3,0,0,1,1,26,0
16288,35,4,105541,0,14,1,3,1,0,0,1,2052,41,0
6089,49,2,250649,3,15,1,3,1,0,0,1,1,36,0
15655,39,2,208359,7,12,1,5,1,0,0,1,1,41,0
20911,48,2,147237,1,10,1,6,1,0,0,1,1,41,0
14029,26,0,187509,5,11,0,2,3,0,0,1,1,41,0
5997,41,2,313946,5,11,1,6,1,0,0,1,1,41,0
24130,38,2,199252,5,11,1,4,2,0,1,1,1,41,0
267,65,2,21175,1,10,1,1,1,0,0,1,1,41,0
13180,37,2,176051,5,11,1,9,1,0,0,1,1,41,0
20567,23,2,137877,5,11,0,11,0,0,0,1,1,21,0
6347,25,2,163054,0,14,0,5,0,0,1,1,1,41,0
32113,55,2,123375,8,5,1,6,1,0,0,1,1,41,0
24908,41,4,306496,0,14,1,3,1,0,0,1,1,36,0
15919,38,2,171394,1,10,1,5,1,0,0,1,1741,41,0
10751,47,2,165938,1,10,1,6,1,0,0,1,1,41,0
28134,33,2,260869,0,14,1,5,1,1,0,1,1,41,0
15962,22,2,409231,1,10,0,6,0,0,0,1,1,41,26
3638,23,2,361488,1,10,0,6,0,0,0,1,1,41,0
31031,54,2,142412,7,12,2,3,4,0,1,1,1,41,0
12511,43,2,120838,1,10,2,8,0,0,0,1,1,51,0
23940,27,2,163748,0,14,0,5,0,0,1,1,1,56,0
4147,24,2,227944,0,14,0,1,3,0,0,1,1,41,0
20400,25,2,59147,1,10,4,5,4,0,1,1,1,49,0
14307,39,2,227616,5,11,1,6,1,0,0,1,1,41,0
11616,53,2,174768,5,11,1,1,1,0,0,1,1,46,0
7941,53,2,84452,7,12,2,4,0,0,0,1,1,33,0
30859,36,2,220944,1,10,2,4,4,1,1,1,1595,41,0
11322,59,0,69580,5,11,6,3,0,0,1,1,1,21,0
510,50,2,141945,7,12,3,2,4,0,0,1,1381,43,0
7513,29,2,159725,0,14,3,5,0,0,1,1,1,51,0
23452,50,3,229377,1,10,1,0,1,0,0,1,1,41,0
904,27,2,290287,5,11,0,0,0,1,0,1,1,39,0
29788,35,2,37647,6,13,1,6,1,0,0,1,1,66,0
20831,38,2,359132,1,10,2,6,4,0,1,1,1,49,0
5541,27,2,153170,12,7,1,2,1,0,0,1,1,41,0
9699,67,2,117163,12,7,6,9,0,0,1,1,1,33,0
20844,51,2,108447,5,11,1,5,1,0,0,1,1,41,0
4334,42,4,137143,5,11,1,5,1,0,0,1,1,41,0
26814,36,0,190896,1,10,1,6,1,0,0,1,1,41,0
28157,37,2,30268,1,10,1,7,1,0,0,1,1,51,0
31712,25,2,280961,1,10,1,9,2,0,1,1,1,25,0
17028,44,2,112182,7,12,1,10,2,0,1,1,1903,33,0
1626,52,2,126011,1,10,1,6,1,0,0,1,1,41,0
